,Rank,Gross Millions,Artist,Average Ticket Price,Average Tickets,Total Tickets,Average Gross,Cities Shows,Agency
44,45,42.8,Enrique Iglesias / Pitbul,90.48,"11,826","473,032","1,070,000",40/41,Creative Artists Agency / WME
45,46,42.0,Little Mi,51.80,"14,225","810,810","736,842",57/71,Solo Agency
46,47,41.8,Cirque du Soleil - “Varekai,61.99,"16,458","674,764","1,020,282",41/282,Cirque du Soleil
47,48,41.8,Jerry Seinfel,108.78,"6,404","384,261","696,667",60/101,ICM Partners
48,49,41.4,Kendrick Lama,91.53,"13,709","452,387","1,254,776",33/36,WME
49,50,39.7,Cirque du Soleil - “Kooza,85.41,"12,232","464,816","1,044,737",38/293,Cirque du Soleil
50,51,39.5,Phil Collin,139.01,"23,679","284,152","3,291,667",12/24,Solo Agency
51,52,39.3,Jay-,102.53,"13,689","383,302","1,403,571",28/32,Live Nation
52,53,38.3,Chris Stapleto,46.57,"13,054","822,417","607,937",63/68,WME
53,54,38.1,Bruce Springsteen & The E Street Ban,146.05,"29,020","261,184","4,238,418",9/14,BPB Consulting / CAA
54,55,37.8,Shawn Mende,53.88,"12,308","701,559","663,158",57/59,Paradigm Talent Agency / CODA
55,56,37.3,Iron Maide,67.42,"13,489","553,067","909,464",41/45,Creative Artists Agency / K2 Agency
56,57,37.1,Kings Of Leo,52.89,"9,742","701,455","515,278",72/75,WME
57,58,36.9,Zac Brown Ban,47.43,"18,524","777,988","878,571",42/53,Creative Artists Agency
58,59,35.9,"Cirque du Soleil - ""Volta",74.66,"16,042","481,274","1,197,760",30/246,Cirque du Soleil
59,61,33.4,New Kids On The Bloc,67.76,"10,492","493,124","710,987",47/48,Creative Artists Agency
60,62,33.4,Janet Jackso,73.14,"8,154","456,633","596,429",56/56,WME
61,63,33.2,Chris Roc,84.38,"6,558","393,458","553,333",60/97,ICM Partners
62,64,32.8,Journe,79.81,"7,078","410,530","564,914",58/68,Creative Artists Agency
63,65,31.5,The Chainsmoker,57.95,"7,765","543,572","450,000",70/77,Creative Artists Agency
64,66,31.3,Def Leppar,69.34,"11,889","451,793","824,373",38/38,Artist Group Int'l / Int'l Talent Booking
65,67,30.6,Hans Zimme,92.06,"6,391","332,335","588,369",52/55,WME
66,68,29.9,Stevie Nick,92.46,"9,497","322,905","878,115",34/37,Creative Artists Agency
67,69,29.8,Olly Mur,55.93,"12,995","532,808","726,829",41/52,Creative Artists Agency
68,70,29.6,James Taylo,82.88,"13,736","357,142","1,138,462",26/27,Creative Artists Agency
69,71,29.4,Jimmy Buffet,74.79,"13,555","393,100","1,013,793",29/29,The Howard Rose Agency
70,72,28.6,“Harry Potter In Concert,55.86,"4,063","511,994","226,984",126/207,Creative Artists Agency
71,73,28.4,Phis,65.30,"72,486","434,915","4,733,333",6/25,Paradigm Talent Agency
72,74,28.3,Dierks Bentle,39.37,"12,611","718,821","496,491",57/58,WME
73,75,28.2,Futur,34.99,"13,660","805,944","477,966",59/60,ICM Partners
74,76,28.1,Bryan Adam,64.58,"5,725","435,119","369,737",76/83,Patriot Artists / Feldman / LPO
75,77,28.1,Katy Perr,105.52,"6,340","266,300","669,048",42/42,Creative Artists Agency
76,78,27.5,Marc Anthon,100.48,"11,390","273,362","1,144,513",24/27,Cardenas Marketing Network
77,79,27.2,Imagine Dragon,59.18,"12,422","459,614","735,135",37/37,Paradigm Talent Agency
78,80,26.7,Foo Fighter,88.97,"9,378","300,101","834,375",32/32,WME / Creative Artists Agency
79,81,25.8,Springsteen On Broadwa,496.16,946,"52,020","469,281",1/55,Thrill Hill Productions / CAA
80,82,25.5,Jason Aldea,49.90,"12,776","511,022","637,500",40/41,WME
81,83,25.4,Rod Stewar,76.57,"11,439","331,722","875,862",29/44,Artist Group International
82,84,25.0,Jennifer Lope,194.73,"11,655","128,202","2,269,557",11/32,Creative Artists Agency
83,85,24.1,Che,153.56,"11,231","157,238","1,724,654",14/46,Marshall Arts
84,86,24.1,Hall & Oates / Tears For Fear,75.04,"10,705","321,162","803,333",30/31,Artist Group Int'l / CAA
85,87,23.4,Eric Clapto,210.72,"27,767","111,066","5,850,825",4/11,Creative Artists Agency
86,88,23.1,Gloria Trevi / Alejandra Guzma,63.73,"10,342","361,960","659,041",35/42,The Sixth House / Universal Aguirre
87,89,23.5,Twenty One Pilot,49.31,"10,624","467,463","523,860",44/45,Creative Artists Agency
88,90,22.9,Jack Johnso,56.71,"12,237","403,814","693,939",33/46,Partisan Arts
89,91,22.4,Santan,80.02,"6,217","279,777","497,512",45/73,Creative Artists Agency
90,92,22.2,Sam Hun,38.62,"16,898","574,546","652,591",34/37,Creative Artists Agency
91,93,21.8,Lionel Richi,80.78,"8,996","269,868","726,667",30/37,Creative Artists Agency
92,94,21.4,Chance The Rappe,48.07,"13,094","445,184","629,412",34/39,CLG - Cara Lewis Group / X-ray Touring
93,95,20.5,John Legen,70.55,"5,283","290,574","372,727",55/63,WME
94,96,20.2,George Strai,127.22,"31,725","158,627","4,036,136",5/10,The Erv Woolsey Agency
95,97,20.1,Scorpion,90.13,"7,434","223,011","670,000",30/30,APA / International Talent Booking
96,98,20.1,matchbox twenty / Counting Crow,42.12,"9,174","477,034","386,397",52/52,Creative Artists Agency / ITB
97,99,19.4,Backstreet Boy,129.57,"12,481","149,766","1,617,152",12/33,WME
98,100,19.0,Too,77.19,"13,675","246,145","1,055,556",18/18,WME
