,Rank,Gross Millions,Artist,Average Ticket Price,Average Tickets,Total Tickets,Average Gross,Cities Shows,Agency
62,63,26.0,Lionel Richi,86.12,"7,188","301,904","619,048",42/42,Creative Artists Agency / Marshall Arts
63,64,25.9,Simply Re,70.98,"11,057","364,891","784,848",33/38,Creative Artists Agency
64,65,25.6,Romeo Santo,77.87,"12,176","328,753","948,148",27/31,Angelo Medina Group
65,66,25.0,Eric Churc,46.77,"11,136","534,530","520,833",48/49,WME
66,67,24.8,Olly Mur,62.88,"11,600","394,402","729,412",34/50,Creative Artists Agency
67,68,24.7,Lady Antebellu,40.47,"11,109","610,992","449,526",55/55,Creative Artists Agency
68,69,24.5,Herbert Grönemeye,57.66,"16,359","425,331","943,180",26/28,United Talent Agency
69,70,24.3,The Weekn,76.39,"15,905","318,104","1,215,000",20/23,WME
70,71,24.1,Florence + The Machin,57.78,"10,173","417,099","587,805",41/47,WME / Creative Artists Agency
71,72,23.7,Andrea Bocell,202.95,"5,839","116,777","1,185,000",20/24,Pentagon Music Management
72,73,23.6,Pearl Ja,62.49,"41,962","377,660","2,622,222",9/9,WME / International Talent Booking
73,74,2222233333.....33333,Marc Anthon,110.92,"11,670","210,061","1,294,444",18/22,Cardenas Marketing Network / Marc Anthony Prod.
74,75,23.0,Bob Seger & The Silver Bullet Ban,87.34,"9,753","263,338","851,852",27/27,ICM Partners
75,76,23.0,Mus,68.16,"10,885","337,441","741,935",31/34,Artist Group International / United Talent Agency
76,77,22.6,Celine Dio,163.44,"4,321","138,277","706,250",1/32,ICM Partners
77,78,22.5,Cirque du Soleil - “Corteo,79.92,"17,577","281,226","1,404,763",16/136,Cirque du Soleil
78,79,22.4,Scorpion,59.77,"7,364","375,576","440,130",51/51,International Talent Booking
79,80,22.0,Nicki Mina,51.17,"11,613","429,672","594,170",37/38,Maverick / ICM Partners
80,81,22.0,Charlie Wilso,71.50,"6,682","307,362","477,725",46/47,ICM Partners
81,82,22.0,Brad Paisle,37.67,"11,231","584,019","423,077",52/53,WME
82,83,22.0,The Wh,99.20,"8,530","221,774","846,154",26/27,International Talent Booking
83,84,21.8,Rod Stewar,114.30,"11,219","190,726","1,282,353",17/34,Artist Group International
84,85,21.0,Slipkno,54.22,"6,052","387,310","328,125",64/64,Creative Artists Agency / K2 Agency
85,86,20.6,Dead & Compan,83.15,"15,484","247,745","1,287,500",16/21,Paradigm Talent Agency
86,87,20.4,Jerry Seinfel,86.63,"3,925","235,484","340,000",60/91,ICM Partners
87,89,20.0,Miranda Lamber,56.42,"8,244","354,484","465,116",43/43,WME
88,90,19.7,Ricky Marti,70.62,"6,804","278,957","480,488",41/45,Creative Artists Agency
89,91,19.0,Michael McIntyr,54.54,"23,283","349,244","1,269,745",15/35,Off The Kerb Productions
90,92,19.0,Ricardo Arjon,80.69,"6,364","235,469","513,514",37/42,Fenix Entertainment Group
91,93,18.7,Rascal Flatt,36.32,"12,558","514,867","456,098",41/47,WME
92,94,18.6,Jimmy Buffet,93.05,"7,403","199,892","688,889",27/28,The Howard Rose Agency
93,95,18.2,Fall Out Boy / Wiz Khalif,34.52,"12,873","527,812","444,389",41/41,Creative Artists Agency
94,96,17.9,Bob Dyla,77.67,"3,389","230,462","263,235",68/86,CAA / International Talent Booking
95,97,17.8,The Beach Boy,53.11,"2,816","335,153","149,580",119/128,ICM Partners
96,98,17.7,Bryan Adam,58.04,"5,169","304,962","300,000",59/61,Patriot Artists Agency
97,99,17.6,Michael Flatley’s “Lord Of The Dance,56.79,"5,246","309,492","297,916",59/161,Creative Artists Agency
98,100,17.4,Barry Manilo,72.98,"8,219","238,342","599,785",29/33,WME
