,Rank,Gross Millions,Artist,Average Ticket Price,Average Tickets,Total Tickets,Average Gross,Cities Shows,Agency
56,57,6.6,Pentatoni,64.11,"8,534","102,412","547,154",12/19,Creative Artists Agency
57,58,6.3,Phis,83.23,"19,021","76,085","1,583,128",1/4,Paradigm Talent Agency
58,59,6.2,“Springsteen On Broadway,506.39,948,"12,324","480,055",1/13,Thrill Hill Productions
59,60,6.1,Casting Crown,39.81,"4,288","154,371","170,706",36/36,Jeff Roberts & Associates
60,61,6.0,Chris Tomli,36.87,"4,777","162,424","176,150",34/36,Creative Artists Agency
61,62,6.0,“Winter Jam” / Newsboy,21.52,"6,373","274,023","137,170",43/43,Premier Productions
62,63,6.0,Bruno Mar,193.76,"15,121","30,241","2,929,784",2/2,WME
63,64,5.5,Donny & Marie Osmon,97.95,757,"56,826","74,211",1/75,Greg Young
64,65,5.5,Roberto Carlo,108.97,"4,595","50,545","500,718",11/11,DC Set Group
65,66,5.3,Old Dominio,47.80,"4,445","111,113","212,440",25/25,Paradigm Talent Agency
66,67,5.2,Jimmy Buffet,104.24,"12,494","49,976","1,302,393",4/4,The Howard Rose Agency
67,68,5.1,Anuel A,62.64,"7,365","81,010","461,351",11/11,MN2S
68,69,5.0,Jim Gaffiga,62.55,"6,726","80,715","420,734",12/23,United Talent Agency
69,70,5.0,Derek Houg,67.61,"2,126","74,411","143,748",35/35,United Talent Agency
70,71,5.0,Marco Antonio Soli,92.83,"10,753","53,764","998,183",5/5,Habari Inc.
71,72,5.0,Twenty One Pilot,55.81,"14,842","89,054","828,287",6/7,Creative Artists Agency
72,73,4.9,Ozun,105.16,"11,654","46,615","1,225,544",4/4,Saavedra Booking
73,74,4.8,Nine Inch Nail,88.79,"13,403","53,611","1,190,037",4/13,WME
74,75,4.7,Kevin Har,80.27,"11,797","58,986","946,934",5/6,WME
75,76,4.7,Ron Whit,55.74,"1,970","84,711","109,814",43/50,Creative Artists Agency
76,77,4.6,Willie Nelso,85.52,"3,182","54,099","272,147",17/21,Creative Artists Agency
77,78,4.6,For King & Countr,37.29,"3,439","123,786","128,228",36/36,Jeff Roberts & Associates
78,79,4.5,Arijit Sing,97.93,"6,608","46,256","647,117",7/7,Tarsame Mittal Talent Management
79,80,4.5,Greta Van Flee,49.74,"6,474","90,629","322,005",14/22,WME
80,81,4.4,Five Finger Death Punch / Breaking Benjami,59.00,"6,174","74,091","364,280",12/12,Artist Group International / CAA
81,82,4.3,Charlie Wilso,87.78,"4,469","49,156","392,258",11/11,ICM Partners
82,83,4.1,Meek Mil,55.66,"4,618","73,889","257,053",16/17,Celebrity Talent Agency
83,84,4.0,Rain-A Tribute To The Beatle,53.30,"1,828","74,937","97,411",41/52,WME
84,85,3.9,Snoop Dog,59.28,"6,607","66,070","391,685",10/10,Universal Attractions Agency
85,86,3.9,The Tenderloin,58.12,"6,625","66,254","385,058",10/11,United Talent Agency
86,87,3.8,Nicky Ja,90.60,"3,858","42,442","349,554",11/12,Cardenas Marketing Network
87,88,3.8,Dierks Bentle,55.59,"8,487","67,894","471,761",8/8,WME
88,89,3.8,Post Malon,136.89,"13,743","27,485","1,881,252",2/2,United Talent Agency
89,90,3.7,John Cris,38.48,"2,336","95,793","89,914",41/46,United Talent Agency
90,91,3.7,Anita Bake,117.77,"7,814","31,257","920,254",4/8,Creative Artists Agency
91,92,3.7,Chicag,88.79,"2,760","41,394","245,013",15/22,Creative Artists Agency
92,93,3.7,Eagle,157.86,"23,193","23,193","3,661,203",1/1,Creative Artists Agency
93,94,3.6,Il Div,79.40,"2,062","45,370","163,735",22/22,JEP Entertainment Group
94,95,3.6,Hillsong Unite,40.34,"8,054","88,589","324,856",11/12,Premier Productions
95,96,3.6,Bring Me The Horizo,43.80,"3,547","81,575","155,343",23/23,United Talent Agency
96,97,3.6,John Legen,112.25,"3,964","31,712","444,949",8/10,WME
97,98,3.5,Hozie,47.46,"2,807","72,977","133,202",26/26,WME
98,99,3.4,Arctic Monkey,53.16,"64,467","64,467","3,427,273",1/1,WME
99,100,3.3,Bryan Adam,68.57,"9,727","48,634","666,971",5/5,The Feldman Agency
