,Rank,Gross Millions,Artist,Average Ticket Price,Average Tickets,Total Tickets,Average Gross,Cities Shows,Agency
43,44,38.7,"Cirque du Soleil - ""Crystal",58.84,"19,348","657,831","1,138,449",34/249,Cirque du Soleil Entertainment Group
44,45,38.2,Andrea Bocell,164.65,"14,489","231,831","2,385,625",16/18,Klassics Music Management Limited
45,46,37.9,Paul McCartne,155.74,"27,067","243,606","4,215,520",9/11,Marshall Arts
46,47,37.5,Elton Joh,134.81,"18,541","278,116","2,499,572",15/20,Howard Rose Agency / Rocket Music Ent. Group
47,48,37.5,Iron Maide,90.31,"20,755","415,094","1,874,370",20/24,K2 Agency
48,49,36.6,"Cirque du Soleil - ""Ovo",69.72,"15,445","525,113","1,076,810",34/262,Cirque du Soleil Entertainment Group
49,50,34.0,Fleetwood Ma,129.48,"12,492","262,333","1,617,438",21/21,Creative Artists Agency
50,51,33.7,Jason Aldea,53.91,"17,884","625,929","964,086",35/35,WME
51,52,33.7,Jennifer Lope,195.79,"3,830","172,332","749,787",1/45,Creative Artists Agency
52,53,32.7,Chris Stapleto,59.87,"14,408","547,497","862,665",38/39,WME
53,54,32.7,Pearl Ja,89.61,"52,075","364,524","4,666,506",7/11,WME / International Talent Booking
54,55,31.9,Zac Brown Ban,57.76,"26,318","552,674","1,520,203",21/25,Creative Artists Agency
55,56,31.6,Bon Jov,102.16,"14,717","309,048","1,503,501",21/24,Creative Artists Agency
56,57,31.3,Maroon ,100.12,"13,597","312,720","1,361,349",23/25,WME
57,58,31.1,Paul Simo,99.53,"13,582","312,382","1,351,761",23/27,Creative Artists Agency
58,59,30.4,Kid Roc,72.63,"12,295","418,013","892,894",34/36,Creative Artists Agency
59,60,29.6,Kendrick Lama,88.25,"17,627","334,914","1,555,558",19/23,WME
60,61,28.4,Radiohea,85.25,"23,826","333,566","2,031,278",14/19,Creative Artists Agency
61,62,28.3,Scorpion,79.90,"7,868","354,039","628,588",45/45,APA / International Talent Booking
62,63,27.6,Rod Stewar,84.74,"11,230","325,668","951,577",29/30,Artist Group International
63,64,27.2,Lynyrd Skynyr,51.16,"13,629","531,514","697,196",39/39,WME
64,65,27.1,Lady Gag,105.44,"15,115","256,949","1,593,720",17/19,Creative Artists Agency
65,68,25.3,Thirty Seconds To Mar,51.17,"7,368","493,653","377,030",67/67,Creative Artists Agency
66,69,25.1,"Cirque du Soleil - ""Volta",82.78,"12,110","302,756","1,002,483",25/191,Cirque du Soleil Entertainment Group
67,70,24.9,Panic! At The Disc,59.97,"12,210","415,152","732,268",34/34,Creative Artists Agency
68,71,24.8,Jeff Dunha,51.15,"6,069","485,504","310,397",80/82,United Talent Agency
69,72,24.7,Niall Hora,53.70,"6,143","460,743","329,906",75/81,Creative Artists Agency
70,73,24.7,Bryan Adam,67.76,"8,102","364,572","549,001",45/48,Patriot Artists Agency / Feldman Agency / LPO
71,74,24.7,Che,135.85,"10,097","181,746","1,371,679",18/43,Marshall Arts
72,75,24.6,Steve Martin / Martin Shor,112.25,"3,368","218,895","378,021",65/71,WME
73,76,24.2,Jay-,103.07,"15,673","235,097","1,615,352",15/17,Live Nation
74,77,24.1,Demi Lovat,68.22,"8,821","352,842","601,769",40/41,Creative Artists Agency
75,78,23.1,Sting / Shagg,83.14,"5,448","277,839","452,956",51/53,Creative Artists Agency / ICM Partners
76,79,23.0,"Cirque du Soleil - ""Kooza",95.23,"11,481","241,092","1,093,255",21/176,Cirque du Soleil Entertainment Group
77,80,22.7,James Taylo,89.65,"8,737","253,375","783,269",29/30,Creative Artists Agency
78,81,22.5,Lana Del Re,74.28,"9,479","303,328","704,117",32/32,CAA / Primary Talent International
79,82,22.2,David Byrn,70.45,"3,319","315,301","233,821",95/104,WME
80,83,22.0,"Cirque du Soleil - ""Amaluna",91.60,"13,318","239,728","1,219,999",18/163,Cirque du Soleil Entertainment Group
81,84,21.8,"Cirque du Soleil - ""Corteo",63.48,"14,320","343,683","908,976",24/156,Cirque du Soleil Entertainment Group
82,85,21.7,The Kelly Famil,61.40,"9,051","353,004","555,711",39/42,Denis Vaughan Management
83,86,21.7,Ozun,75.55,"11,032","286,824","833,484",26/27,Saavedra Booking
84,87,21.5,Malum,84.03,"9,154","256,311","769,223",28/29,Creative Artists Agency
85,88,21.5,Sebastian Maniscalc,80.78,"6,656","266,244","537,671",40/82,United Talent Agency
86,89,21.4,Jeff Lynne's EL,111.13,"13,778","192,897","1,531,169",14/16,CAA / GLP - Georg Leitner Productions
87,90,21.3,Tim McGraw / Faith Hil,77.80,"10,146","273,952","789,394",27/28,Creative Artists Agency
88,91,21.1,The Smashing Pumpkin,79.41,"7,377","265,584","585,801",36/38,Artist Group International
89,92,21.0,The Illusionist,53.78,"5,074","390,719","272,906",77/229,WME
90,93,20.9,Post Malon,59.99,"12,423","347,851","745,280",28/30,United Talent Agency
91,94,20.5,Bad Bunn,69.70,"7,529","293,623","524,783",39/43,Cardenas Marketing Network
92,95,20.1,The Scrip,59.94,"7,630","335,708","457,339",44/49,Creative Artists Agency
93,96,19.9,Thomas Rhet,66.11,"9,704","300,839","641,574",31/32,WME
94,97,19.8,Jerry Seinfel,100.61,"3,576","196,706","359,829",55/73,ICM Partners
95,98,19.5,"""Soy Luna Live",71.15,"7,201","273,634","512,352",38/49,Ozono Producciones
96,99,19.4,"""Vans Warped Tour",35.77,"14,287","542,908","511,062",38/38,Creative Artists Agency
97,100,18.8,Steely Dan / Doobie Brother,61.90,"8,004","304,170","495,473",38/38,Creative Artists Agency
